Student,Avg_Study_Hours,Expected_Score,Assignment_1,Assignment_2,Assignment_3,Assignment_4,Assignment_5
Student_1,3.996714153011233,87.84834311999882,99.07127935051003,61.641809639548256,80.59661683405392,79.52967922211442,82.39168072814923
Student_2,3.361735698828815,81.35028644636888,87.74363017764387,96.0968302033786,100.0,70.26073536773166,80.73098655084611
Student_3,4.1476885381006925,82.49866951785685,93.82058120130998,100.0,87.7496914490121,78.1615029385219,100.0
Student_4,5.023029856408026,98.57984760557306,100.0,94.14119442235706,100.0,100.0,99.53597648060422
Student_5,3.265846625276664,86.32261166187537,85.95374545947497,77.139380961633,52.97634478616898,97.68385358684888,92.06262125161928
Student_6,3.2658630430508193,76.28746983512423,61.674234441159186,78.51179346630106,64.75911574133085,76.13970848346699,75.05291336164213
Student_7,5.0792128155073915,100.0,100.0,100.0,100.0,98.56727139358044,98.00222741562756
Student_8,4.2674347291529084,95.11322139695078,96.91192758348473,100.0,80.24995483997003,99.50773258505839,91.55008657060846
Student_9,3.030525614065048,76.6340895307953,70.81896737101799,79.52169837958927,93.82930690889745,81.50914045473174,79.40082858888476
Student_10,4.042560043585965,89.71795224917041,92.50139093047065,100.0,87.03161595600668,99.60201337186768,95.02455725293355
Student_11,3.0365823071875377,88.35743211008055,100.0,100.0,98.5562103667388,58.30390074770888,89.00321274281492
Student_12,3.034270246429743,84.01044153182676,82.47064329425102,45.28066249536084,71.61090189293907,88.18238878266853,87.05761697387697
Student_13,3.741962271566034,87.46354099015107,64.58254460321075,86.523543325373,100.0,86.11206339488446,87.08641644821002
Student_14,1.586719755342202,64.67878096861709,61.506511210673494,79.89335755426487,74.91473445291541,68.66669017633502,59.69134349056611
Student_15,1.7750821674869672,68.13386702712796,65.69193791045944,72.45457805992817,69.0654497211401,100.0,88.89454900711823
Student_16,2.937712470759027,76.81830691787876,75.56688700596311,79.66280769944457,77.80966037648976,84.49551085379838,77.8182761040357
Student_17,2.4871688796655764,64.34794126806068,100.0,49.886760725924304,39.81832905356218,100.0,77.67618604742673
Student_18,3.814247332595274,98.35336287862638,100.0,100.0,100.0,95.55731880944465,100.0
Student_19,2.591975924478789,76.6963842407849,46.99732428164986,85.10161426518438,72.29366397869832,83.2969853351491,79.32060584627538
Student_20,2.0876962986647083,72.86769931225977,88.08318291115911,35.14671460830801,71.06093785893302,74.86640415277816,93.5341978777618
Student_21,4.965648768921554,99.36694893983099,100.0,100.0,99.80909219532796,94.71775372943996,98.64276277405159
Student_22,3.274223699513464,79.0666529915117,72.28325742863271,48.92223093068839,87.45305535925888,75.74965084663349,89.42228153779361
Student_23,3.5675282046879238,84.74565964213538,52.84448471660739,59.1293302563913,90.3066310060894,47.61522162083789,86.84910026156281
Student_24,2.075251813786543,62.75554432689388,57.0757556215332,68.01678664235465,22.561346045158793,31.44065321156153,53.45636631426549
Student_25,2.9556172754748173,90.9416052450147,78.53423333510295,87.32960910629187,75.15720989955977,78.14314618061303,100.0
Student_26,3.6109225897098662,79.93666590498668,76.62021447054676,77.78680702908346,78.41164695814658,66.38722012064665,100.0
Student_27,2.3490064225776974,68.33023280654108,69.73016639291419,51.27262240553,77.12652612699294,85.14165723391706,65.64891981632539
Student_28,3.875698018345672,86.55568416152471,90.18628912265547,98.07108627756277,79.13851738090375,88.77970660914518,87.11007683322225
Student_29,2.8993613100811952,85.43399172507384,58.727044809497684,100.0,88.99618914834313,48.247167740282805,86.78868658619535
Student_30,3.208306250206723,82.1556074983805,85.60421548593459,100.0,79.1815793833629,75.28648077708455,96.02333578369058
Student_31,2.898293387770603,72.80225489755372,60.08288394828793,59.94945672896125,74.35131605164014,72.63310622603748,71.85298902330769
Student_32,5.352278184508938,100.0,97.44963251569337,96.57159265225228,98.48252493333052,97.08100125505626,100.0
Student_33,3.486502775262066,88.52003088654807,87.96827561483167,70.81243805041873,87.8409083649098,88.99964105915927,91.90612819205052
Student_34,2.4422890710440996,77.11506549652326,83.11696127712992,37.956225409039554,64.01473673697947,74.81584809386786,78.81965813660504
Student_35,4.322544912103189,96.80412032688609,97.07178342755653,100.0,91.57176225783884,100.0,76.54732775943165
Student_36,2.2791563500289778,84.76337300320203,84.10605475276071,85.94962077190533,86.3430333629097,82.66712876155665,71.86658500824421
Student_37,3.7088635950047553,98.01411042522811,98.41671697722985,98.13670195204065,89.69639514515163,87.97446608851169,94.86660117825421
Student_38,1.5403298761202244,61.96972204618577,77.62753884193839,60.04410104023418,63.064531508167136,69.63494360528247,67.18686138043496
Student_39,2.1718139511015693,79.83756447507146,94.92400369785614,40.45331905482425,93.00026573136681,93.72254592414367,95.859345898169
Student_40,3.6968612358691235,88.88445330748573,77.82343212587062,71.41008061766338,84.41792004622975,89.0596396883186,89.51492804061861
Student_41,4.238466579995411,94.88014488064286,98.46644500866836,100.0,96.22548742641082,94.98753428047891,100.0
Student_42,3.6713682811899706,78.25232865368307,77.51984262387445,87.7966605388217,77.07849776498381,100.0,100.0
Student_43,3.3843517176117595,82.99158834917661,95.50817786317272,78.17014788109783,71.26633039934802,80.16543360177738,80.43073885842409
Student_44,3.1988963044107113,77.92484509242428,77.12518465159393,45.51432950686344,85.37693451421516,99.35336329699172,70.18986463964796
Student_45,2.0214780096325726,74.35507417079228,77.58291809619489,79.01333285707506,89.78350755844808,71.36728870654161,81.57900001510917
Student_46,2.7801557916052912,83.15696041806694,80.30884739115132,86.41462809921713,93.92105396553335,83.15729270992242,80.03940131296508
