Date,Neural Nova_Return,Neural Nova_Volume,QuantumLeaf_Return,QuantumLeaf_Volume,PixelPilot_Return,PixelPilot_Volume,CryptoCore_Return,CryptoCore_Volume,DataWhale_Return,DataWhale_Volume,VirtuVest_Return,VirtuVest_Volume,Market_Sentiment_Index
2024-01-01,-0.05357320630558172,154322,0.006731327523560705,95955,0.013667354371909761,383541,0.03126255246108829,134873,-0.014194366617602105,173425,0.01411681027327305,258435,59.58148835716679
2024-01-02,-0.0032695276692889345,127593,0.043149847411702386,108754,-0.04805389829973333,180140,0.010814672679495487,79440,-0.09634418873877273,145050,0.0009289016652435893,179515,30.86246759657189
2024-01-03,-0.07296789208550232,146096,-0.04701965575204543,87782,0.03256644942813485,307943,-0.007587736847120468,169636,-0.0016099309477443525,288503,-0.012034668608788622,146676,30.880906011378507
2024-01-04,0.0005613971677905884,114461,-0.0993166258610761,181257,0.06561316915608865,149295,0.007905078411013304,101609,0.029050642312209815,292995,-0.005839027988430147,126892,55.65407372719775
2024-01-05,-0.003173863858877249,77955,-0.010930186018312674,276859,-0.016830454366642576,133023,0.01583628085338324,127627,0.04179255124912112,80325,0.0068458510104293015,326562,51.59263545081508
2024-01-06,0.03737737394932489,97169,0.013750890551578614,166604,0.006869645512018664,234461,-0.006072471226899693,192660,-0.008007659666885918,158917,0.004742391467492344,82399,48.69229353290429
2024-01-07,0.0001806748474479881,117725,-0.05171036181495313,175451,-0.005068501286709411,118792,-0.005129205670528278,176547,-0.006487599521465533,213778,-0.044945955488969014,239187,52.61221557759954
2024-01-08,0.026680680264966183,99660,0.043658995311979615,391859,-0.017283174191985218,221237,-0.0007622707016388709,162643,0.03283993172326889,251655,0.0023301850127089635,419225,57.70555031550908
2024-01-09,0.017219772773547838,91538,-0.0012926204696641975,148731,0.04690908979740337,62857,0.0019467211958755651,175792,-0.005534208646302455,188368,0.16094094098289335,160225,65.20388691114466
2024-01-10,-0.05299963572315702,125264,0.35139172767818755,71696,0.0027136585478048977,188983,-0.010113784193561787,291318,-0.00023567133322424075,128488,0.02379798409589544,194079,78.76857167901349
2024-01-11,-0.01576164207915101,86919,-0.01456378677592789,195415,0.005122504988623919,139058,0.027597621719569886,119974,-0.006842408596438362,120072,-0.2515227105396179,139045,29.184215298368265
2024-01-12,-0.03540266329993684,189657,-0.008698256529670345,96291,0.037441474484887646,138850,-0.006920554346804757,160077,0.001620265215529961,104860,-0.13159008955387386,333923,56.11520158606766
2024-01-13,0.007285437505277212,115682,0.014644551309826566,124520,0.02889734857516514,110048,0.011422923386681508,334165,-0.046233322355763516,203040,-0.008820212575739604,111900,42.59930549069974
2024-01-14,0.05596129212495941,253341,-0.02589309873871147,176359,-0.016197969663962104,180394,-0.017477476661845577,141805,0.03669422822474051,120599,0.00882659871724501,186298,59.36352893024927
2024-01-15,0.003723402565879548,130870,0.014042339035815766,336617,-0.001689901269108266,97956,0.005852825282652502,300878,0.0003490640537080168,155666,-0.0006846708675976487,183438,65.77786564002177
2024-01-16,-0.010302619855059768,227126,-0.030726264466824634,126487,-0.002104621912055789,229968,-0.09638060159789293,55104,0.010076547516174802,122027,-0.006792675584502543,112462,27.14502938060161
2024-01-17,-0.003500252439752183,98577,0.008254880499478146,149345,-0.08903294789251026,189908,0.0013438693105524853,215574,0.0071811368785067616,179216,0.015987944600506763,124707,42.582290305260955
2024-01-18,0.020344762207983164,188642,0.01614325180202057,171050,0.0019374061598053896,236670,0.004351538426686179,222075,0.022809803694414172,164751,-0.007386711715345626,113675,65.30207730055983
2024-01-19,0.05071274702988833,125344,-0.08891984932918026,130624,-0.017803130989171696,143471,-0.008298099124409868,181175,-0.0076793982946335455,216656,-0.0018119234873148788,159460,56.65246853098879
2024-01-20,-0.014074692713056282,163807,-0.04725769551702689,172356,-0.002659418448072391,132407,0.05288440511437243,112402,-0.16725936469110403,80646,-0.014033626079965946,123246,35.45835117379407
2024-01-21,0.10169216746556171,196665,0.006044348764936808,122864,0.05065757534898665,147986,0.011730422901582322,196137,0.06496201158520529,200441,-0.01984696698620267,105681,57.002593001902746
2024-01-22,0.03221233909700319,242516,0.047596384429827186,255490,-0.025538348459413333,103575,0.00845504692148003,117062,0.2312064232126367,262088,0.04957716356496427,153469,82.45995880774083
2024-01-23,0.0018579781177169657,66975,-0.018992695363839858,92978,-0.0508425892712214,147303,-0.016882150293106205,102209,0.3491651392360211,137947,-0.031171920452898055,164877,77.37774182399423
2024-01-24,-0.004278010748261545,292114,-0.004513008504094772,144902,0.0015962269145996856,249950,-0.017070880251374577,288227,-0.015397600149018092,288867,0.0002801490541093927,182389,35.727824935940056
2024-01-25,-0.0044084625640713315,74212,0.008620894122538818,195698,-0.01318116263500654,247548,-0.006200895448254643,157561,0.04380533592654194,327038,0.018263305215954435,229563,41.08746448484971
2024-01-26,0.02253407786855777,204292,0.020255347954429126,251337,-0.0016705511009700894,185971,-0.03415366894267601,60046,-0.039102416177118564,133298,-0.0042468595007857535,262726,49.82696215993176
2024-01-27,0.015652909666681186,117825,0.3493932998650457,148837,-0.033407086622281826,107158,-0.03583020936202487,332225,0.000364243830280006,318888,-0.001975307082127956,114285,75.90679635399374
2024-01-28,0.008786095235660919,172632,0.020747928140756582,123970,0.015639547140761656,208142,0.001373365805923567,199560,-0.0018801195830733567,225186,-0.09957796952929732,185863,43.348565628414924
2024-01-29,0.039349424530560465,526582,-0.011449724617674685,107886,-0.04782485281212781,82105,-0.005569645856533631,139074,-0.028702860204006447,86925,0.013500598943548877,89591,54.07980086540795
2024-01-30,0.05032989555725091,109040,0.0025600765630187793,112546,-0.08244769513987397,111096,0.001004851822866226,200243,-0.00011326577843046319,132922,-0.004540978280854299,151477,40.68482624789132
2024-01-31,0.0029421509232470467,232743,-0.0006230455403683837,119787,-0.027594339461598925,146412,0.26737636224767397,188396,-0.00031165386846317405,74859,-0.000403020066443134,62695,44.945494291532476
2024-02-01,0.02439629151657555,186922,-0.04454846876719513,198155,0.07427254784872397,371642,-0.04060898178278459,173379,0.019821495141502006,225910,0.059997226703242805,150513,51.98299665401168
2024-02-02,-0.07409665864961335,183302,0.0015634310184102927,317077,-0.026210567059559115,69591,-0.02783826502913149,192037,-0.01316688844538768,382404,-0.034066755145394145,182191,39.04460791108598
2024-02-03,-0.020113173468802044,314968,0.00027522659412823765,126540,0.04032119495938433,160681,-0.00029485563428845564,164952,-0.010850767579241898,67034,0.11404422668235925,102000,55.4670571712714
2024-02-04,0.0031310556000020994,104951,-0.007104992024470482,226121,-0.015967558564285375,230697,-0.004821889519069547,185278,0.20022486793547514,226305,0.25983462231509813,152411,67.43370774625514
2024-02-05,0.016382634876189177,263227,-0.003451254104718645,163327,0.00816479864279148,166565,-0.025440469690414774,146350,-0.009043354880922505,214010,0.00901988462180048,137519,31.55232620552684
2024-02-06,-0.006186955464056301,240523,0.30672483211114615,103480,-0.016857481349684674,104865,0.3526203838161618,214265,-0.17663703256227947,157091,0.3498509171831465,135732,98.82675620528329
2024-02-07,-0.025948688471809984,232355,-0.0032273333440298916,127656,0.005092817794920327,150229,-0.001491693900725546,284842,-0.03002470677454928,301238,0.011010211446549446,305272,56.003931499854446
2024-02-08,0.002923508661076939,145386,0.005255091226087119,266274,0.3501356770278339,111348,-0.05309063977715122,113237,0.010509014684507566,63564,0.0111368445670871,317790,84.35327415343292
2024-02-09,0.013931222734955753,115198,0.0011730188844316686,154722,-0.0143355648690915,113082,-0.10475511288146698,214929,0.027752643256587793,140048,0.0410390297294602,96574,59.530816298376344
